covid19model_country,covid19model_region,GCMR_country,GCMR_region
"France", "Auvergne-Rhône-Alpes", , 
"France", "Bourgogne-Franche-Comté", , 
"France", "Bretagne", , 
"France", "Centre-Val de Loire", , 
"France", "Corse", , 
"France", "Grand Est", , 
"France", "Hauts-de-France", , 
"France", "Normandie", , 
"France", "Nouvelle-Aquitaine", , 
"France", "Occitanie", , 
"France", "Pays de la Loire", , 
"France", "Provence-Alpes-Côte d'Azur", , 
"France", "Île-de-France", , 
"France", "France-hopitaux", , 
"France", "France-OC19", , 
"France", "France-EHPAD", , 
"Denmark", "Denmark", , 
"Italy", "Italy", , 
"Germany", "Germany", , 
"Spain", "Spain", , 
"United_Kingdom", "United_Kingdom", , 
"France", "France", , 
"Norway", "Norway", , 
"Belgium", "Belgium", , 
"Austria", "Austria", , 
"Sweden", "Sweden", , 
"Switzerland", "Switzerland", , 
"Greece", "Greece", , 
"Portugal", "Portugal", , 
"Netherlands", "Netherlands", , 
