,covid19model_country,covid19model_region,GCMR_country,GCMR_region
0,France,Auvergne-Rhône-Alpes,France,Auvergne-Rhône-Alpes
1,France,Bourgogne-Franche-Comté,France,Bourgogne-Franche-Comté
2,France,Bretagne,France,Brittany
3,France,Centre-Val de Loire,France,Centre-Val de Loire
4,France,Corse,France,Corsica
5,France,Grand Est,France,Grand Est
6,France,Hauts-de-France,France,Hauts-de-France
7,France,Normandie,France,Normandy
8,France,Nouvelle-Aquitaine,France,Nouvelle-Aquitaine
9,France,Occitanie,France,Occitanie
10,France,Pays de la Loire,France,Pays de la Loire
11,France,Provence-Alpes-Côte d'Azur,France,Provence-Alpes-Côte d'Azur
12,France,Île-de-France,France,Île-de-France
13,France,France-hopitaux,France,France
14,France,France-OC19,France,France
15,France,France-EHPAD,France,France
16,Denmark,Denmark,Denmark,Denmark
17,Italy,Italy,Italy,Italy
18,Germany,Germany,Germany,Germany
19,Spain,Spain,Spain,Spain
20,United_Kingdom,United_Kingdom,United Kingdom,United Kingdom
21,France,France,France,France
22,Norway,Norway,Norway,Norway
23,Belgium,Belgium,Belgium,Belgium
24,Austria,Austria,Austria,Austria
25,Sweden,Sweden,Sweden,Sweden
26,Switzerland,Switzerland,Switzerland,Switzerland
27,Greece,Greece,Greece,Greece
28,Portugal,Portugal,Portugal,Portugal
29,Netherlands,Netherlands,Netherlands,Netherlands
